Name,Base_FLOPS,Turbo_FLOPS,TDP
Intel Core i3-13100F,27.20,0.00,58
AMD Ryzen 5 5600G,46.80,52.80,65
AMD Ryzen 5 4500,43.20,49.20,65
Intel Core i3-13100,27.20,0.00,60
Intel Core i5-12400F,30.00,52.80,65
AMD Ryzen 5 5600,42.00,52.80,65
AMD Ryzen 5 5600X,44.40,55.20,65
Intel Core i5-12400,30.00,52.80,65
Intel Core i5-13400F,39.60,0.00,65
AMD Ryzen 5 7600X,56.40,63.60,105
AMD Ryzen 5 7600,45.60,61.20,65
Intel Core i5-13400,30.00,0.00,65
Intel Core i5-12600K,43.20,58.80,125
Intel Core i5-13500,30.00,0.00,65
Intel Core i5-12600KF,44.40,58.80,125
Intel Core i7-12700F,33.60,78.40,65
Intel Core i7-12700KF,57.60,80.00,125
Intel Core i5-12600K,43.20,58.80,125
AMD Ryzen 7 7700X,72.00,86.40,105
AMD Ryzen 7 7700,60.80,84.80,65
Intel Core i7-13700,64.00,0.00,65
Intel Core i7-13700F,64.00,0.00,65
AMD Ryzen 7 7800X3D,67.20,80.00,120
AMD Ryzen 9 7900,88.80,129.60,65
Intel Core i9-12900K,51.20,83.20,125
Intel Core i9-12900KF,51.20,83.20,125
AMD Ryzen 9 7900X,112.80,134.40,170
AMD Ryzen 9 7900,88.80,129.60,65
Intel Core i9-12900K,51.20,83.20,125
Intel Core i9-12900KF,51.20,83.20,125
AMD Ryzen 9 7900X,112.80,134.40,170
AMD Ryzen 9 7900X3D,105.60,134.40,120
AMD Ryzen 9 7950X,144.00,182.40,170
AMD Ryzen 9 7950X3D,134.40,182.40,120
Intel Core i9-13900KS,51.20,48.00,125
AMD Ryzen 3 4100,30.40,32.00,65
AMD Ryzen 5 5500,43.20,50.40,65
Intel Core i3-12100,26.40,34.40,60
Intel Core i3-12100F,26.40,34.40,60
Intel Core i5-12500,36.00,55.20,65
Intel Core i5-12600,39.60,57.60,65
Intel Core i5-13600K,42.00,0.00,125
Intel Core i5-13600KF,42.00,0.00,125
Intel Core i7-12700,33.60,78.40,65
Intel Core i7-13700K,54.40,48.00,125
Intel Core i7-13700KF,54.40,48.00,125
Intel Core i9-13900,68.80,0.00,65
Intel Core i9-13900F,68.80,0.00,65
Intel Core i9-13900K,48.00,48.00,125
Intel Core i9-13900KF,48.00,48.00,125
Intel Core i5-12500,36.00,55.20,65
Intel Core i5-12600,39.60,57.60,65
Intel Core i5-13600K,42.00,0.00,125
Intel Core i5-13600KF,42.00,0.00,125
Intel Core i7-12700,33.60,78.40,65
Intel Core i7-13700K,54.40,48.00,125
Intel Core i7-13700KF,54.40,48.00,125
Intel Core i9-13900,68.80,0.00,65
Intel Core i9-13900F,68.80,0.00,65
Intel Core i9-13900K,48.00,48.00,125
Intel Core i9-13900KF,48.00,48.00,125
Intel Celeron G6900,13.60,0.00,46
Intel Core i3-10100,28.80,32.80,65
Intel Core i3-10100F,28.80,34.40,125
Intel Core i3-10105,29.60,0.00,65
Intel Core i3-10300,29.60,33.60,65
Intel Celeron G6900,13.60,0.00,46
Intel Core i3-10100,28.80,32.80,65
Intel Core i3-10100F,28.80,34.40,125
Intel Core i3-10105,29.60,0.00,65
Intel Core i3-10300,29.60,33.60,65
Intel Core i3-10305,30.40,0.00,65
Intel Core i3-10320,30.40,35.20,65
Intel Core i5-10400F,34.80,48.00,65
Intel Core i5-10500,37.20,0.00,65
Intel Core i5-10600,39.60,0.00,65
Intel Core i5-10600K,49.20,57.60,125
Intel Core i5-10600KF,49.20,57.60,125
Intel Core i5-11400F,31.20,0.00,65
Intel Core i5-11500,32.40,0.00,65
Intel Celeron G6900,13.60,0.00,46
Intel Core i3-10100,28.80,32.80,65
Intel Core i3-10100F,28.80,34.40,125
Intel Core i3-10105,29.60,0.00,65
Intel Core i3-10300,29.60,33.60,65
Intel Core i3-10305,30.40,0.00,65
Intel Core i3-10320,30.40,35.20,65
Intel Core i5-10400F,34.80,48.00,65
Intel Core i5-10500,37.20,0.00,65
Intel Core i5-10600,39.60,0.00,65
Intel Core i5-10600K,49.20,57.60,125
Intel Core i5-10600KF,49.20,57.60,125
Intel Core i5-11400F,31.20,0.00,65
Intel Core i5-11500,32.40,0.00,65
Intel Core i5-11600,33.60,0.00,65
Intel Core i5-11600KF,46.80,0.00,125
Intel Core i7-10700,46.40,0.00,65
Intel Core i7-10700K,60.80,81.60,125
Intel Core i7-10700KF,60.80,81.60,125
Intel Core i7-11700,40.00,0.00,65
Intel Core i7-11700KF,57.60,0.00,125
Intel Celeron G6900,13.60,0.00,46
Intel Core i3-10100,28.80,32.80,65
Intel Core i3-10100F,28.80,34.40,125
Intel Core i3-10105,29.60,0.00,65
Intel Core i3-10300,29.60,33.60,65
Intel Core i3-10305,30.40,0.00,65
Intel Core i3-10320,30.40,35.20,65
Intel Core i5-10400F,34.80,48.00,65
Intel Core i5-10500,37.20,0.00,65
Intel Core i5-10600,39.60,0.00,65
Intel Core i5-10600K,49.20,57.60,125
Intel Core i5-10600KF,49.20,57.60,125
