Year,RAM_Type,Size,Clock,Sticks,Bandwidth,Latency
2021,DDR5-4800,32,4800,2,153.6,8.333333333333334
2021,DDR4-3600,32,3600,2,115.2,5.0
2021,DDR4-3600,32,3600,2,115.2,5.0
2021,DDR4-3200,32,3200,2,102.4,5.0
2019,DDR4-3200,16,3200,2,102.4,5.0
2020,DDR4-3600,16,3600,2,115.2,5.0
2018,DDR4-3000,16,3000,2,96.0,5.0
2019,DDR4-3200,16,3200,2,102.4,5.0
2019,DDR4-3600,16,3600,2,115.2,5.0
2021,DDR5-4800,32,4800,2,153.6,8.333333333333334
2021,DDR4-3600,32,3600,2,115.2,5.0
2021,DDR4-3600,32,3600,2,115.2,5.0
2021,DDR4-3200,32,3200,2,102.4,5.0
2019,DDR4-3200,16,3200,2,102.4,5.0
2020,DDR4-3600,16,3600,2,115.2,5.0
2018,DDR4-3000,16,3000,2,96.0,5.0
2019,DDR4-3200,16,3200,2,102.4,5.0
2019,DDR4-3600,16,3600,2,115.2,5.0
2019,DDR4-3000,16,3000,2,96.0,5.0
2019,DDR4-3000,16,3000,2,96.0,5.0
2021,DDR4-3600,16,3600,2,115.2,5.0
2021,DDR4-2666,16,2666,2,85.312,6.001500375093774
2021,DDR4-3600,32,3600,2,115.2,5.0
2021,DDR4-4000,16,4000,2,128.0,4.0
2019,DDR4-3200,16,3200,4,204.8,5.0
2021,DDR4-3600,128,3600,8,460.8,5.0
2022,DDR5-5200,32,5200,1,83.2,3.0769230769230766
2022,DDR5-6400,32,6400,2,204.8,2.5
2022,DDR5-5600,32,5600,2,179.2,2.857142857142857
2019,DDR4-3200,32,3200,4,204.8,5.0
2019,DDR4-3200,32,3200,4,204.8,5.0
2021,DDR4-3600,128,3600,8,460.8,5.0
2020,DDR4-3000,128,3000,1,48.0,5.0
2019,DDR5-6800,32,6800,2,217.6,2.3529411764705883
2018,DDR4-2666,32,2666,4,170.624,6.001500375093774
2018,DDR4-2400,32,2400,2,76.8,6.666666666666667
2019,DDR4-3000,32,3000,2,96.0,5.0
2019,DDR4-3000,32,3000,2,96.0,5.0
2021,DDR5-6400,32,6400,2,204.8,2.5
2018,DDR4-3600,32,3600,4,230.4,5.0
2019,DDR4-3600,16,3600,2,115.2,5.0
2021,DDR4-3200,32,3200,4,204.8,5.0
2019,DDR4-3200,32,3200,2,102.4,5.0
2018,DDR4-3200,32,3200,2,102.4,5.0
2021,DDR4-3600,32,3600,2,115.2,5.0
2019,DDR4-3200,16,3200,2,102.4,5.0
2018,DDR4-3200,16,3200,2,102.4,5.0
2018,DDR4-2666,16,2666,2,85.312,6.001500375093774
2020,DDR4-3600,8,3600,2,115.2,5.0
2019,DDR4-3200,16,3200,2,102.4,5.0
2019,DDR4-3466,16,3466,2,110.912,4.616272360069244
2019,DDR4-3000,16,3000,2,96.0,5.0
2021,DDR5-6800,32,6800,2,217.6,2.3529411764705883
2018,DDR4-3200,32,3200,4,204.8,5.0
2019,DDR4-3000,64,3000,2,96.0,5.0
2019,DDR4-3200,32,3200,2,102.4,5.0
2018,DDR4-3000,16,3000,2,96.0,5.0
2018,DDR4-2400,16,2400,4,153.6,6.666666666666667
2020,DDR4-3600,32,3600,4,230.4,5.0
2019,DDR4-2666,32,2666,4,170.624,6.001500375093774
2019,DDR4-2666,32,2666,4,170.624,6.001500375093774
2019,DDR4-3000,32,3000,2,96.0,5.0
2022,DDR5-7000,32,7000,2,224.0,2.2857142857142856
2018,DDR4-3000,32,3000,4,192.0,5.0
2019,DDR4-3200,32,3200,4,204.8,5.0
2018,DDR4-3200,16,3200,2,102.4,5.0
2019,DDR4-2400,32,2400,2,76.8,6.666666666666667
2020,DDR4-2400,128,2400,1,38.4,6.666666666666667
2021,DDR4-3200,32,3200,4,204.8,5.0
2019,DDR4-3000,32,3000,2,96.0,5.0
2018,DDR3-2133,16,2133,2,68.256,7.501172058134084
2019,DDR4-3466,32,3466,2,110.912,4.616272360069244
2021,DDR4-2400,4,2400,1,38.4,6.666666666666667
2019,DDR4-3200,32,3200,1,51.2,5.0
2021,DDR4-3000,32,3000,4,192.0,5.0
2020,DDR4-2666,32,2666,4,170.624,6.001500375093774
2022,DDR4-3600,16,3600,2,115.2,5.0
2022,DDR5-5200,64,5200,2,166.4,3.0769230769230766
2019,DDR4-3000,32,3000,2,96.0,5.0
2019,DDR4-2400,32,2400,4,153.6,6.666666666666667
2019,DDR4-2133,32,2133,4,136.512,7.501172058134084
2019,DDR4-3000,32,3000,2,96.0,5.0
2019,DDR4-3200,32,3200,2,102.4,5.0
2019,DDR4-3000,32,3000,2,96.0,5.0
2019,DDR4-3200,32,3200,2,102.4,5.0
2023,DDR5-5600,48,5600,2,179.2,2.857142857142857
2022,DDR4-3600,64,3600,2,115.2,5.0
2022,DDR4-3600,32,3600,4,230.4,5.0
2021,DDR4-4400,16,4400,2,140.8,3.6363636363636362
2019,DDR4-3200,32,3200,4,204.8,5.0
2022,DDR5-4800,16,4800,1,76.8,8.333333333333334
2018,DDR3-1866,16,1866,2,59.712,8.57449088960343
2021,DDR4-3600,64,3600,2,115.2,5.0
2022,DDR5-5200,48,5200,2,166.4,3.0769230769230766
2019,DDR4-3200,32,3200,4,204.8,5.0
2020,DDR4-3866,16,3866,2,123.712,4.138644593895499
2019,DDR4-3000,32,3000,1,48.0,5.0
2023,DDR5-7200,32,7200,2,230.4,2.2222222222222223
2023,DDR5-7000,32,7000,2,224.0,2.2857142857142856
2022,DDR4-3600,32,3600,4,230.4,5.0
2022,DDR4-3600,32,3600,4,230.4,5.0
2019,DDR4-3000,32,3000,4,192.0,5.0
2020,DDR4-3200,64,3200,4,204.8,5.0
2022,DDR4-3600,64,3600,2,115.2,5.0
2022,DDR4-3200,32,3200,4,204.8,5.0
2021,DDR4-3600,64,3600,2,115.2,5.0
2020,DDR4-3000,32,3000,2,96.0,5.0
2023,DDR5-7200,32,7200,2,230.4,2.2222222222222223
2021,DDR4-2933,32,2933,4,187.712,5.455165359699966
2022,DDR4-3200,64,3200,2,102.4,5.0
2022,DDR4-3200,64,3200,2,102.4,5.0
2019,DDR4-3200,32,3200,4,204.8,5.0
2022,DDR5-6400,32,6400,2,204.8,2.5
2019,DDR4-2666,32,2666,2,85.312,6.001500375093774
2019,DDR4-3200,32,3200,4,204.8,5.0
2020,DDR4-3200,32,3200,4,204.8,5.0
2022,DDR5-6200,32,6200,2,198.4,2.5806451612903225
