,ID,Name,Year,RAM_Type,Size,Clock,Sticks,Bandwidth,Latency
0,1,Kingston Fury Beast,2021,DDR5-4800,32,4800,2,76.8,16.666666666666668
1,2,Corsair Vengeance RGB RT,2021,DDR4-3600,32,3600,2,57.6,10.0
2,3,Corsair Vengeance RGB RT,2021,DDR4-3600,32,3600,2,57.6,10.0
3,4,Corsair Vengeance RGB RT,2021,DDR4-3200,32,3200,2,51.2,10.0
4,5,G.Skill Trident Z DDR4-3200 16GB,2019,DDR4-3200,16,3200,2,51.2,10.0
5,6,Thermaltake Toughram RGB DDR4-3600 CL18,2020,DDR4-3600,16,3600,2,57.6,10.0
6,7,G.Skill Trident Z RGB Series,2018,DDR4-3000,16,3000,2,48.0,10.0
7,8,Corsair Dominator Platinum DDR4-3200,2019,DDR4-3200,16,3200,2,51.2,10.0
8,9,Corsair Vengeance LPX black + AF,2019,DDR4-3600,16,3600,2,57.6,10.0
9,10,Kingston Fury Beast,2021,DDR5-4800,32,4800,2,76.8,16.666666666666668
10,11,Corsair Vengeance RGB RT,2021,DDR4-3600,32,3600,2,57.6,10.0
11,12,Corsair Vengeance RGB RT,2021,DDR4-3600,32,3600,2,57.6,10.0
12,13,Corsair Vengeance RGB RT,2021,DDR4-3200,32,3200,2,51.2,10.0
13,14,G.Skill Trident Z DDR4-3200 16GB,2019,DDR4-3200,16,3200,2,51.2,10.0
14,15,Thermaltake Toughram RGB DDR4-3600 CL18,2020,DDR4-3600,16,3600,2,57.6,10.0
15,16,G.Skill Trident Z RGB Series,2018,DDR4-3000,16,3000,2,48.0,10.0
16,17,Corsair Dominator Platinum DDR4-3200,2019,DDR4-3200,16,3200,2,51.2,10.0
17,18,Corsair Vengeance LPX black + AF,2019,DDR4-3600,16,3600,2,57.6,10.0
18,19,Corsair Dominator Platinum DDR4-3000 CL15,2019,DDR4-3000,16,3000,2,48.0,10.0
19,20,Corsair Vengeance RGB Pro Series white,2019,DDR4-3000,16,3000,2,48.0,10.0
20,21,Corsair Dominator Platinum RGB Series,2021,DDR4-3600,16,3600,2,57.6,10.0
21,22,Corsair RGB 16GB DDR4-2666,2021,DDR4-2666,16,2666,2,42.656,12.003000750187548
22,23,Corsair Vengeance RGB RS,2021,DDR4-3600,32,3600,2,57.6,10.0
23,24,Corsair Vengeance RGB Pro Series black,2021,DDR4-4000,16,4000,2,64.0,8.0
24,25,HyperX Predator DDR4-3200 CL16,2019,DDR4-3200,16,3200,4,102.4,10.0
25,26,Corsair Dominator Platinum RGB Series,2021,DDR4-3600,128,3600,8,230.4,10.0
26,27,Kingston Fury Beast Black,2022,DDR5-5200,32,5200,1,41.6,15.384615384615385
27,28,Corsair Vengeance,2022,DDR5-6400,32,6400,2,102.4,12.5
28,29,Corsair Dominator Platinum RGB,2022,DDR5-5600,32,5600,2,89.6,14.285714285714286
29,30,Corsair Vengeance LPX Black DDR4-3200 CL16,2019,DDR4-3200,32,3200,4,102.4,10.0
30,31,Corsair Vengeance RGB Pro Series black,2019,DDR4-3200,32,3200,4,102.4,10.0
31,32,Corsair Dominator Platinum RGB Series,2021,DDR4-3600,128,3600,8,230.4,10.0
32,33,Corsair Dominator Platinum DDR4-3000 CL16,2020,DDR4-3000,128,3000,1,24.0,10.0
33,34,Corsair Vengeance,2019,DDR5-6800,32,6800,2,108.8,11.764705882352942
34,35,Crucial Ballistix Sport AT,2018,DDR4-2666,32,2666,4,85.312,12.003000750187548
35,36,Crucial Ballistix Sport LT Series (White),2018,DDR4-2400,32,2400,2,38.4,13.333333333333334
