RAM_Type,Size,Clock,Sticks,Year,DDR_Type,Data_Rate,Bandwidth (GB/s),Latency (ns),Bandwidth_GB_s
DDR5-4800,32,999.99,2,2021,DDR5,5,1.2499875,0.25600256002560023,1.99998
DDR4-3600,32,999.99,2,2021,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3600,32,999.99,2,2021,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3200,32,999.99,2,2021,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3200,16,999.99,2,2019,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3600,16,999.99,2,2020,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3000,16,999.99,2,2018,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3200,16,999.99,2,2019,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3600,16,999.99,2,2019,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR5-4800,32,999.99,2,2021,DDR5,5,1.2499875,0.25600256002560023,1.99998
DDR4-3600,32,999.99,2,2021,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3600,32,999.99,2,2021,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3200,32,999.99,2,2021,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3200,16,999.99,2,2019,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3600,16,999.99,2,2020,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3000,16,999.99,2,2018,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3200,16,999.99,2,2019,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3600,16,999.99,2,2019,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3000,16,999.99,2,2019,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3000,16,999.99,2,2019,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3600,16,999.99,2,2021,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-2666,16,999.99,2,2021,DDR4,4,0.99999,0.25600256002560023,1.99998
DDR4-3600,32,999.99,2,2021,DDR4,4,0.99999,0.25600256002560023,1.99998
